date,end_of_day,vol
2022-05-26,1807.9694742881136,0.8337920587815594
2022-05-27,1724.8757340323443,0.8336549040778819
2022-05-28,1798.6948545788846,0.8270841257471355
2022-05-29,1814.9831598025937,0.8251455041686753
2022-05-30,1995.9364841552344,0.8299635587664324
2022-05-31,1944.078766836179,0.8200742270198841
2022-06-01,1828.8926546074292,0.8217393747914911
2022-06-02,1833.089840845753,0.8211099303809999
2022-06-03,1776.979907458187,0.8200078801923911
2022-06-04,1804.2616695112486,0.8181668268336852
2022-06-05,1805.3313949894373,0.8177610550178281
2022-06-06,1860.1813068416047,0.8176564779284934
2022-06-07,1818.3877119829308,0.8165361281231126
2022-06-08,1794.539625671828,0.8163877094265257
2022-06-09,1788.4182866616045,0.8155667587761011
2022-06-10,1663.844367412088,0.8169369343720096
2022-06-11,1530.0386174317211,0.8192188129854762
2022-06-12,1454.6867601728409,0.8206174326895018
2022-06-13,1205.5952855404787,0.8361323797759224
2022-06-14,1214.8662649132034,0.835683671804107
2022-06-15,1230.3643353556051,0.8357491892134007
2022-06-16,1068.6035748646073,0.842528750578919
2022-06-17,1087.8139244584365,0.8427138625434478
2022-06-18,995.2525692707909,0.8446511485326617
2022-06-19,1125.7540917942745,0.8546204266773838
2022-06-20,1132.0543935828048,0.8539087940528219
2022-06-21,1124.5613920165545,0.8396273262128046
2022-06-22,1051.0740681589236,0.8420390564995363
2022-06-23,1144.4807534808065,0.8452082878970482
2022-06-24,1229.3040854466553,0.8484372482882201
2022-06-25,1244.2862044953927,0.844879286150805
2022-06-26,1201.237790641909,0.845538377335737
2022-06-27,1194.2245084746116,0.8410971023832625
2022-06-28,1143.5335357209958,0.8401326897190827
2022-06-29,1098.9055176105344,0.8400506094646203
2022-06-30,1057.6309990608017,0.8392528326144431
2022-07-01,1068.8194401301964,0.8365530253370214
2022-07-02,1068.5415025999594,0.8363589431710899
2022-07-03,1074.6073175787587,0.8357030930795957
2022-07-04,1153.3483147880897,0.8377359212644632
2022-07-05,1134.017069659217,0.8365605779720225
